modele,marque,energie,hybride,puiss_admin,p_kw,typ_boite,conso_urbaine,conso_autoroute,conso_mixte,co2,co,nox,part_fine,poids,norme,nb_rapp
159,ALFA-ROMEO,ES,0,12,147.0,0,11.3,5.8,7.8,182.0,0.647,0.032,0.002,1505,0,6
159,ALFA-ROMEO,GO,0,9,125.0,0,6.6,4.3,5.1,136.0,0.192,0.16899999999999998,0.003,1565,0,6
159,ALFA-ROMEO,GO,0,7,100.0,0,6.6,4.2,5.1,134.0,0.066,0.149,0.001,1565,0,6
159,ALFA-ROMEO,GO,0,9,125.0,0,6.9,4.3,5.3,139.0,0.06,0.16399999999999998,0.001,1565,0,6
159,ALFA-ROMEO,ES,0,12,147.0,0,11.5,6.0,8.0,186.0,0.647,0.032,0.002,1555,0,6
159,ALFA-ROMEO,GO,0,9,125.0,0,6.7,4.4,5.2,139.0,0.192,0.16899999999999998,0.003,1615,0,6
159,ALFA-ROMEO,GO,0,7,100.0,0,6.8,4.3,5.2,137.0,0.066,0.149,0.001,1615,0,6
159,ALFA-ROMEO,GO,0,9,125.0,0,7.1,4.4,5.4,142.0,0.06,0.16399999999999998,0.001,1615,0,6
BRERA,ALFA-ROMEO,ES,0,12,147.0,0,11.8,6.0,8.1,189.0,0.601,0.04,0.003,1505,0,6
BRERA,ALFA-ROMEO,GO,0,9,125.0,0,7.1,4.4,5.4,142.0,0.18899999999999997,0.155,0.002,1555,0,6
BRERA,ALFA-ROMEO,GO,0,9,120.0,0,7.1,4.4,5.4,142.0,0.18899999999999997,0.155,0.002,1555,0,6
GIULIETTA,ALFA-ROMEO,ES,0,14,172.5,0,10.8,5.8,7.6,177.0,0.375,0.022000000000000002,0.001,1395,0,6
GIULIETTA,ALFA-ROMEO,GO,0,5,77.0,0,5.5,3.7,4.4,114.0,0.215,0.17300000000000001,0.001,1385,0,6
GIULIETTA,ALFA-ROMEO,GO,0,9,125.0,0,5.3,4.0,4.5,119.0,0.182,0.16,0.001,1410,0,6
GIULIETTA,ALFA-ROMEO,GO,0,9,125.0,0,5.8,4.1,4.7,124.0,0.152,0.158,0.002,1395,0,6
GIULIETTA,ALFA-ROMEO,GO,0,8,120.0,0,5.3,4.0,4.5,119.0,0.182,0.16,0.001,1410,0,6
GIULIETTA,ALFA-ROMEO,GO,0,9,120.0,0,5.8,4.1,4.7,124.0,0.152,0.158,0.002,1395,0,6
GIULIETTA,ALFA-ROMEO,GO,0,7,103.0,0,5.6,3.9,4.5,119.0,0.389,0.161,0.001,1395,0,6
GIULIETTA,ALFA-ROMEO,GO,0,7,100.0,0,5.6,3.9,4.5,119.0,0.389,0.161,0.001,1395,0,6
MITO,ALFA-ROMEO,GO,0,6,88.0,0,5.3,3.8,4.4,114.0,0.389,0.155,0.001,1280,0,6
MITO,ALFA-ROMEO,GO,0,6,85.0,0,5.3,3.8,4.4,114.0,0.389,0.155,0.001,1280,0,6
